"state","general_lat","general_long","latitude","longitude","brightness","acq_date","acq_time","confidence","daynight","area"
"New South Wales",-29,148,-28.7647,147.761,350.5,"2001-02-07",6,95,"D",801000
"New South Wales",-29,147,-28.7105,147.1602,344.9,"2014-03-06",0,91,"D",801000
"New South Wales",-29,148,-29.0823,148.2516,353.3,"2004-01-30",49,96,"D",801000
"New South Wales",-29,148,-29.4207,148.4336,346.4,"2003-04-07",13,92,"D",801000
"New South Wales",-29,148,-28.9884,148.3444,345.8,"2003-03-18",37,91,"D",801000
"New South Wales",-29,148,-29.3948,148.1508,346.3,"2011-03-06",49,93,"D",801000
"New South Wales",-29,148,-28.8944,148.4722,344.7,"2011-03-31",42,92,"D",801000
"New South Wales",-29,143,-28.6945,142.5558,348.8,"2018-03-18",43,91,"D",801000
"New South Wales",-29,143,-28.7783,142.5137,378.4,"2018-04-07",19,100,"D",801000
"New South Wales",-29,146,-29.4691,146.3276,368.6,"2013-09-09",12,100,"D",801000
"New South Wales",-29,143,-29.0331,142.6215,355.4,"2018-01-12",0,97,"D",801000
"New South Wales",-29,148,-28.5704,147.6997,356,"2001-03-02",11,98,"D",801000
"New South Wales",-29,149,-28.646,149.029,352.6,"2002-09-09",25,96,"D",801000
"New South Wales",-29,148,-28.6194,148.106,346.8,"2019-02-26",36,92,"D",801000
"New South Wales",-29,149,-28.9957,149.3217,344.1,"2015-04-01",6,91,"D",801000
"New South Wales",-29,147,-28.5441,147.0089,350.8,"2005-05-30",11,96,"D",801000
"New South Wales",-29,147,-28.5746,147.0815,341.9,"2018-03-08",6,91,"D",801000
"New South Wales",-29,148,-29.2609,148.3326,371.3,"2018-07-30",7,100,"D",801000
"New South Wales",-29,142,-28.7175,142.3261,353.2,"2009-02-28",50,95,"D",801000
"New South Wales",-29,153,-29.1257,153.0263,340.1,"2016-07-08",7,92,"D",801000
"New South Wales",-29,153,-28.6512,152.9337,340.8,"2018-02-20",6,91,"D",801000
"New South Wales",-29,148,-28.9,147.9074,344.5,"2007-03-25",342,91,"D",801000
"New South Wales",-29,148,-28.688,148.1487,369.4,"2019-09-26",12,100,"D",801000
"New South Wales",-29,149,-29.0506,148.8623,342.9,"2013-08-22",24,93,"D",801000
"New South Wales",-29,149,-28.5655,148.5788,357.2,"2002-02-08",7,98,"D",801000
"New South Wales",-29,149,-29.1726,148.5723,344.8,"2019-07-26",0,94,"D",801000
"New South Wales",-29,148,-28.9125,148.3076,356.2,"2008-02-22",354,97,"D",801000
"New South Wales",-29,149,-28.595,149.0791,366.8,"2004-03-26",0,100,"D",801000
"New South Wales",-29,149,-29.3587,148.6644,352.1,"2012-04-13",24,96,"D",801000
"New South Wales",-29,149,-29.4546,148.8843,337.5,"2011-05-08",6,91,"D",801000
"New South Wales",-29,149,-28.5557,149.3031,366.6,"2003-06-10",12,100,"D",801000
"New South Wales",-29,149,-29.3239,148.897,356.6,"2001-02-15",54,98,"D",801000
"New South Wales",-29,148,-28.7688,147.8458,345.7,"2001-04-17",22,92,"D",801000
"New South Wales",-29,149,-29.2192,148.5948,343,"2016-05-20",102,92,"D",801000
"New South Wales",-29,148,-29.2722,148.3835,348.8,"2018-05-07",32,95,"D",801000
"New South Wales",-29,148,-28.9836,148.0532,348.2,"2017-05-17",0,95,"D",801000
"New South Wales",-29,148,-29.3092,148.336,342.5,"2013-04-05",43,92,"D",801000
"New South Wales",-29,148,-28.6605,148.4419,349.8,"2018-11-12",0,93,"D",801000
"New South Wales",-30,145,-30.1735,145.3719,350.5,"2017-01-25",0,94,"D",801000
"New South Wales",-30,146,-30.0797,145.8547,359.8,"2001-05-08",40,94,"D",801000
"New South Wales",-30,147,-29.8327,147.4457,357.8,"2019-08-27",0,99,"D",801000
"New South Wales",-29,149,-28.8082,149.0069,345.2,"2017-04-11",24,92,"D",801000
"New South Wales",-29,149,-28.533,149.0811,383.2,"2006-02-02",59,100,"D",801000
"New South Wales",-29,149,-28.572,149.4566,364.9,"2015-01-20",0,100,"D",801000
"New South Wales",-29,149,-28.8845,148.868,353.4,"2002-03-08",32,96,"D",801000
"New South Wales",-29,149,-28.8192,149.0075,343.2,"2015-05-12",0,92,"D",801000
"New South Wales",-30,152,-29.9915,152.4003,345,"2019-09-28",0,92,"D",801000
"New South Wales",-29,147,-28.5611,147.0434,366.2,"2017-05-18",43,100,"D",801000
"New South Wales",-29,148,-28.7618,147.6928,346.8,"2006-02-25",345,92,"D",801000
"New South Wales",-29,148,-29.2463,148.372,347.3,"2015-03-12",31,92,"D",801000
"New South Wales",-29,148,-29.2549,148.365,353.2,"2015-02-26",18,96,"D",801000
"New South Wales",-29,147,-28.5967,147.0937,360.4,"2016-03-07",24,100,"D",801000
"New South Wales",-29,147,-28.7564,147.1622,346,"2013-09-01",101,93,"D",801000
"New South Wales",-29,147,-28.5818,147.0899,361.8,"2018-02-25",24,100,"D",801000
"New South Wales",-29,147,-28.5429,147.0214,349,"2005-09-15",35,94,"D",801000
"New South Wales",-29,147,-28.5419,147.0195,375.2,"2005-06-02",42,100,"D",801000
"New South Wales",-29,153,-29.1219,153.0647,351.3,"2003-03-06",12,96,"D",801000
"New South Wales",-29,153,-29.2942,153.2161,342.8,"2018-06-03",13,93,"D",801000
